Row Id,Analysis Config Name,Analysis Configuration,Output,Model Type,Model Scope,Analysis Completed Time,Configuration Execution,Datacut Includes All Blocking Factors,Datacut Blocking Factors Csv,Question Code,Answer Filters Csv,Blocking Factor Values Csv,Treatment Variable,Treatment Factors,Lower CI,Upper CI,Standard Error,Treatment Estimate Value,Unit Of Measure,Separation/Equality Groups,Factor 1 Level,Factor 1 Condensed String,Factor 1 Variable Level Id,Factor 1 Label,Factor 1 Uom Code,Factor 1 Source,Factor 1 Blocking Factor Only,Factor 1 Constructs,Factor 1 Events,Factor 1 Line Code,Factor 1 Origin,Factor 1 Mon Number,Factor 1 Bcs Code,Factor 1 Product Identifier,Factor 2 Level,Factor 2 Condensed String,Factor 2 Variable Level Id,Factor 2  Label,Factor 2  Uom Code,Factor 2  Source,Factor 2  Blocking Factor Only,Factor 2 Constructs,Factor 2 Events,Factor 2 Line Code,Factor 2 Origin,Factor 2 Bcs Code,Factor 2 Mon Number,Factor 2 Product Identifier,Means Blocking Factors,Protocol Id,Protocol Name,Submission Id,Submission Name,Experiment Name,Site Names,Subsite Names,Block Names,Experiment Id,Treatment Number,Block Id
21,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe111,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.3251,92.6749,1.3059,76.67,PCT,j,,"Chemical MON119144 Percent Loading 37.5 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.25 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
22,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe112,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.6584,93.0083,1.3059,75,PCT,j,,"Chemical ERR10076479-1 Percent Loading 36 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
23,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe113,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.6584,96.0083,1.3059,75,PCT,j,,"Chemical ERR10076479-2 Percent Loading 36 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
24,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe114,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.9917,96.3416,1.3059,74.17,PCT,j,,"Chemical MON301945 Percent Loading 35 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
25,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe115,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.9917,96.3416,1.3059,100,PCT,a,,"Chemical MON301286 Percent Loading 12.4 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 140 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.5 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
26,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe116,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,93.3251,97.6749,1.3059,97.5,PCT,a,,"Chemical MON119144 Percent Loading 37.5 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.5 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
27,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe117,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,93.6584,98.0083,1.3059,95,PCT,a,,"Chemical XTENDIMAX Percent Loading 29 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.5 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
28,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe118,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,94.4917,98.8416,1.3059,95,PCT,a,,"Chemical MON301945 Percent Loading 35 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
29,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe119,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,94.4917,98.8416,1.3059,92.17,PCT,a,,"Chemical ERR10076479-2 Percent Loading 36 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
30,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe120,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,95.3251,99.6749,1.3059,91.67,PCT,a,,"Chemical ERR10076479-1 Percent Loading 36 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
31,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe121,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,96.1584,100.5083,1.3059,79.17,PCT,b,,"Chemical MON301286 Percent Loading 12.4 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 70 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.25 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
32,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe122,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,96.1584,100.5083,1.3059,75.83,PCT,b,,"Chemical ERR10076479-1 Percent Loading 36 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 630 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
33,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe123,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,96.9917,101.3416,1.3059,71.33,PCT,bc,,"Chemical XTENDIMAX Percent Loading 29 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 630 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.25 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
34,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe124,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,78.6584,83.0083,1.3059,60,PCT,cd,,"Chemical ERR10076479-2 Percent Loading 36 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 630 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
35,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe125,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,86.1584,90.5083,1.3059,55.83,PCT,de,,"Chemical MON119144 Percent Loading 37.5 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 630 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.25 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
36,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe126,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.3251,92.6749,1.3059,51.67,PCT,de,,"Chemical MON301848 Percent Loading 11 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
37,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe127,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.3251,92.6749,1.3059,47.5,PCT,e,,"Chemical MON301945 Percent Loading 35 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 630 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
38,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe128,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.6584,93.0083,1.3059,10,PCT,f,,"Chemical MON301848 Percent Loading 11 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
39,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe129,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.6584,96.0083,1.3059,0,PCT,f,,"Chemical XTENDIMAX Percent Loading 29 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.25 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
40,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe130,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.9917,96.3416,1.3059,0,PCT,f,,"Chemical ERR10076479-2 Percent Loading 36 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
41,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe131,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.9917,96.3416,1.3059,0,PCT,f,,"Chemical ERR10076479-1 Percent Loading 36 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ECHCG,12517,,19206
